"序号","笔记ID","作者","作者主页","标题","点赞数","收藏数","评论数","分享数","发布时间","笔记描述","主题","笔记链接","图片链接","视频链接","cookie"
1,"69bb9866000000001a02ae01","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","走过路过不要错过！欢迎来到——富人直播间","8.4万","4825","5741","3.9万","2026/03/19","走过路过，不要错过！我们的品质，普普通通，我们的价格，没有极限，欢迎来到——富人直播间！（纯属虚构，如有冒犯，先道歉🙇🏻‍♀️","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/69bb9866000000001a02ae01?xsec_token=ABg2bKC0KpZPStC_XsF2mXo7ELj0VO0Vz2CGSq6e5kGZc=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/7a58a2527e0c1f509869f28b8ffe8f20/spectrum/1040g34o31tssf2e60s1049pjunnhaq6p3obpl5g!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e9bb949f20f0df010370039d04cd8812_259.mp4","gid=yYSyDqyj0KlSyYSyDqyjWlEq4fu4VWdY6h8ihIWVFlqVK4287qUYuq888q4YW4y8j4YddWyW; x-user-id-creator.xiaohongshu.com=63b6bf2300000000270280cb; customerClientId=098236509883012; web_session=040069b2c2fc6bccd09d650eca3a4b46cc9d0e; abRequestId=20b4bd66-3b1e-5cf0-a84d-45c84d71285f; a1=19af7d730873am7iih16vg6oeo0ymoh1h889ddv2050000304815; webId=2f971f9fc2ccc73a721280711db5d2db; xsecappid=xhs-pc-web; webBuild=6.1.2; acw_tc=0a00d49317742007557672644e6dfa517e7509ddea7298af88693e03880d40; acw_tc=0a8f06d917742007582705516e5952ea9d64c22b286b422a1830a4dd669392; websectiga=6169c1e84f393779a5f7de7303038f3b47a78e47be716e7bec57ccce17d45f99; sec_poison_id=e34276b9-7e25-4758-95e9-0d1851819f3e; unread={%22ub%22:%2269b7e6b7000000001a020e32%22%2C%22ue%22:%2269b38d500000000023016c0f%22%2C%22uc%22:51}; loadts=1774200795055"
2,"69b29b8c0000000015023346","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","购物就要一步到位！这几个品类买它们就对了","1.3万","4685","692","523","2026/03/12","【本期客户舒服到不想起床】
#亚朵星球深睡控温被夏季Pro3[话题]#","[""#亚朵星球深睡控温被夏季Pro3""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/69b29b8c0000000015023346?xsec_token=AB0Wau39l-wg7G8DAKVXl3iQWJC_7NPbmBmoms8yCPN-Q=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/9d593fb454c1b854a4302a098684214b/spectrum/1040g34o31tk314lumi1049pjunnhaq6plf7e35g!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e9b29acf48d6c5010370039ce1b4f8fa_259.mp4",""
3,"69b0f66d000000001d027f8f","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","热烈欢迎瞿颖姐姐！","10万+","3.6万","1.5万","8.7万","2026/03/11","看看@瞿颖 她带来多少便宜货！
【本期客户集合三种明星成分】
#欧莱雅超水光精华[话题]#","[""#欧莱雅超水光精华""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/69b0f66d000000001d027f8f?xsec_token=ABJlB0oIGZCsBu2Y1qeqk6QMLFFUcqGBiykdbjyU8mXy4=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/6b80e9d937201f2b9c59e4ff76136ec7/spectrum/1040g0k031tidlf33l60g49pjunnhaq6p8ees48g!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e9b0f059c5e8e8010370039cdb504030_259.mp4",""
4,"69ae3cfa000000001d012713","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","好气色！好脸色！我们近期买到的美丽彩妆","1.5万","3991","676","733","2026/03/09","【本期客户上底妆干净又自然】
#PRADA尼龙气垫[话题]#","[""#PRADA尼龙气垫""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/69ae3cfa000000001d012713?xsec_token=ABRYZvk0Gyf74NpNoWIHOwvNojMdSi6Dpmf9Gsli_ZFbI=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/f65acb5731cc9954fcd97b13e4fef6de/spectrum/1040g34o31tfqodou561049pjunnhaq6pc3sqgpo!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e9ae3cc7c6149c010370039cd0a70fd0_259.mp4",""
5,"69a00cbf000000001b014ca6","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","又来海南翻包啦！我快把家搬过来啦😂","9279","2587","597","415","2026/02/26","【本期客户晒黑不怕】
#妮维雅630双能瓶[话题]#","[""#妮维雅630双能瓶""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/69a00cbf000000001b014ca6?xsec_token=ABbNoZb8o3x5uNLGXRHm7cKRgfq66-F7PumMgZl18M7TM=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/d97bea87c528c3de24353faf92fb1993/spectrum/1040g0k031t1utqtfl60049pjunnhaq6p9qre9n8!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e9a017f07cc605010370039c9963bcff_259.mp4",""
6,"699fd083000000001b016f3f","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","过敏换来的血泪史！我在海南用的防晒用品","1.9万","1万","1305","1247","2026/02/26","【本期客户小孩下海必备】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/699fd083000000001b016f3f?xsec_token=ABAp4buAqACUTVgW1wEYqhJI3DtgIxWEubOQFYZTk93tw=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/ebcf20d5cf23d6548f3d1035cffef136/spectrum/1040g34o31t1m73lm5a1049pjunnhaq6p9bon8fo!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e99fc2fc4d35f7010370039c984bfa88_259.mp4",""
7,"698ecc0a000000001b014e48","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","热烈欢迎沈凌！","4.5万","4757","3316","4646","2026/02/13","到底是什么好东西能让“尊敬的@沈凌 老师”永葆青春？！（其实这期的关键词是Sandy～
【本期视频真的没有广】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/698ecc0a000000001b014e48?xsec_token=ABYEs6lK3b7Rf7J5zKZmXdPFM8U-nmMl0uhYlWqvl-ndI=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/76728d52c2d24b015a4e4c5eec75fcf0/spectrum/1040g34o31sh4fsp85c1049pjunnhaq6prg0qqv8!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e98ec660b784e5010370039c55d91b50_259.mp4",""
8,"698c1c590000000016009193","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","海南的民宿也要当成家！（我知道我很事儿啦","3.9万","7668","2424","2608","2026/02/12","【本期视频无广】","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/698c1c590000000016009193?xsec_token=ABRnGRJ-Y3vhw5KDdfmCFz5KrSrTM7hgEVFTkKGQ6Bk90=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/42d231b6fbaaf46ac5063442bcb6e688/spectrum/1040g0k031sfv2bssla0049pjunnhaq6p806tkb0!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e98c1c5a2f24a7010370039c4b55e240_259.mp4",""
9,"6982ef39000000002202dccf","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","要过年啦！过年期间助我状态在线的好物！✨","1.7万","2312","1091","462","2026/02/04","【本期客户精雕我的下颌线】
#兰蔻塑颜精雕面霜[话题]#","[""#兰蔻塑颜精雕面霜""]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/6982ef39000000002202dccf?xsec_token=ABYtOnh7NH6hjAy6ri3Vk9b70psWcLzGzBeNH7FZDQA8c=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/b9f0d3e16130ffb453f4ddd0d3be5568/spectrum/1040g0k031s5hh8715a0049pjunnhaq6ppod3i98!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e982ef1bb7808b010370039c277e1801_259.mp4",""
10,"698adccf0000000015033d84","papi酱","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9","【搞笑】小pa的年度爱用物大盘点","10万+","5561","3175","1.4万","2026/02/10","（每一个都超——级爱！（本期视频全都是自用分享，绝无广子哦～","[]","https://www.xiaohongshu.com/user/profile/59b62f1550c4b47fbfa368d9/698adccf0000000015033d84?xsec_token=ABavYoOWtxOmMemEx7r42id5iCS3LEtKDa1l9ZcBNpODw=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202603230133/6521632dc5f3f3667c7d89d1760fb773/spectrum/1040g0k031sd9214blc0049pjunnhaq6pii10b68!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e98adbb245e8c4010370039c4670f3be_259.mp4",""
