"序号","笔记ID","作者","作者主页","标题","点赞数","收藏数","评论数","分享数","发布时间","笔记描述","主题","笔记链接","图片链接","视频链接","cookie"
1,"68132300000000001201f574","somewhere in stockholm","https://www.xiaohongshu.com/user/profile/63f36c0c000000001001cd39","","42","28","114","25","2025/05/01","广州银行能签吗？春招目前唯一offer[哭惹R]","[]","https://www.xiaohongshu.com/user/profile/63b6bf2300000000270280cb/68132300000000001201f574?xsec_token=ABIKbMFZzQq1LRLjXcYIVIwBUKN9jHlTGpdT2KAXPRNr0=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230150/f1ef74a303f8848b8857547a00c05cc7/1040g2sg31guc8hvbjikg5ovjdg643j9pni4ht6g!nd_dft_wlteh_webp_3""]","","gid=yYSyDqyj0KlSyYSyDqyjWlEq4fu4VWdY6h8ihIWVFlqVK4287qUYuq888q4YW4y8j4YddWyW; x-user-id-creator.xiaohongshu.com=63b6bf2300000000270280cb; customerClientId=098236509883012; web_session=040069b2c2fc6bccd09d650eca3a4b46cc9d0e; abRequestId=20b4bd66-3b1e-5cf0-a84d-45c84d71285f; a1=19af7d730873am7iih16vg6oeo0ymoh1h889ddv2050000304815; webId=2f971f9fc2ccc73a721280711db5d2db; xsecappid=xhs-pc-web; webBuild=6.1.2; acw_tc=0a00d49317742007557672644e6dfa517e7509ddea7298af88693e03880d40; acw_tc=0a8f06d917742007582705516e5952ea9d64c22b286b422a1830a4dd669392; unread={%22ub%22:%2269b7e6b7000000001a020e32%22%2C%22ue%22:%2269b38d500000000023016c0f%22%2C%22uc%22:51}; websectiga=3fff3a6f9f07284b62c0f2ebf91a3b10193175c06e4f71492b60e056edcdebb2; sec_poison_id=b31a6580-5207-4b4d-8ede-46faa7ce5f00; loadts=1774201108527"
2,"69b23e7c000000000b03788e","Cation","https://www.xiaohongshu.com/user/profile/646b2a780000000010025a0b","银行总行暑期实习问答","455","544","94","91","2026/03/12","1. 哪些银行会开设总行实习
总行开设业务岗的暑期实习：工商 招商 民生  平安 浙商 兴业 沪农商（欢迎补充）
部分银行只会开设金科岗的暑期实习，如中国银行 江苏银行
还有一些北分的实习值得注意：中行北分 工行北分 招行北分等
2. 能招多少人
工行100人 招行100人 浙商50人，招聘人数大多和银行规模和秋招招聘人数相关，估计能入各位985的同学的法眼的总行的暑期业务岗hc加起来不足500个
总的来说，在目前银行总行的bar达到顶峰的情况下，呈现僧多粥少，国有行中更是只有工行会开
3. 时间线
一般2-3月中行 平安等就会发布招聘公告，后续大部分银行会在4-5月发布。
中行北分会在笔试三月底 面试在四月份
招行笔试和ai面在五一前后 5月中旬面试 5.20发offer
工总笔试在五一前，5月中旬面试，5.23发offer
4. 工作内容
大部分银行总行的实习生并不会参与业务工作，受制于银行权限和保密合规的原因。大部分时候比较无所事事[笑哭R]（环境好，又安静，学行测绝了[doge]）
最后有一个课题报告需要做，但是专业性和时间要求都不高，作为留用的重要依据
5. 留用率
各个总行差别较大，招行可以达到50%上下，行里不同部门之间也存在差距，留用比较玄学
6. 对秋招的帮助如何
先说结论：私以为有很大的帮助，特别是对于准备all in泛体制的同学。
（1）对秋招的加成：比较大。主要体现在可以显著提高面试官对你的个人兴趣，在蓝色总行，被问到了关于该部门发展的现状、前景的思考和在该部门学习到了什么内容。此外可以确认你对银行的忠诚度[doge]
以本人身边统计学来看，暑期在招总的内地学生几乎人均有四大总的offer（为留学生同学鸣不平💤）
（2）对心态的提升：银行的实习总的来说还是“确定性”比较强，基本不会出现没有hc等莫名情况，大部分暑期结果也会在国庆前公布，缓解焦虑的定心丸[吧唧R]
（3）体验：银行总行近两年来私认为有被过度神话的意味，总行的实习是大部分同学选择offer前接触总行的唯一机会，无论祛魅还是坚定选择都值得一试
7. 怎么准备
改好简历，适度美化和“银行化”[doge]。
笔试知识学习可以先用银行一本通+用粉笔模拟机考（一定要计时），往年真题某鱼也都能搜到。
面试阶段，去提升无领导的性价比此时非常高，在红色国有总暑期面试中我发现周围同学完全不熟悉无领导，甚至有同学提议投票选择方案[汗颜R]胆子大+学一学知识技巧我觉得完全足矣脱颖而出
#银行[话题]# #暑期实习[话题]# #工商银行[话题]##招商银行[话题]#","[""#银行"",""#暑期实习"",""#工商银行"",""#招商银行""]","https://www.xiaohongshu.com/user/profile/63b6bf2300000000270280cb/69b23e7c000000000b03788e?xsec_token=AB0Wau39l-wg7G8DAKVXl3iT8gBdWcfEjpNR5--MOe0gU=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230150/b0a76d30b735923c774436db6641a414/1040g2sg31tjobq0gnedg5p3b59s44mgb10ne340!nd_dft_wlteh_webp_3""]","",""
3,"6726d791000000001901b41e","小红薯62FB737E","https://www.xiaohongshu.com/user/profile/62fa67d800000000120019b5","银行科技岗🏦暑假写两个月代码真实感受","1202","792","216","174","2024/11/09","在去银行实习之前，是做好没办法接触实际业务的心理准备的，因为风评都是实习生只能做“大作业”，不敢让碰实际业务，毕竟都是和钱直接相关的东西。如果没转正就太伤了。
	
到岗的第一天，见了直属领导，是个漂亮又脾气好的姐姐。接着领了设备，设备也是够震惊从互联网跳过来的我的，用的分辨率好低的显示器和华为的破盒子电脑，实习生不能通网（正式员工可以通网但不能翻墙）。但还是在意料之中的。
	
[捂脸R]领导姐姐说需要先做一个商城demo来探一下底，看看技术。我心想确实不让碰实际业务，又打听听说往年暑期一个商城demo要做一暑假的，心里是有点不开心的。
接着是第二天的银行文化培训，做各种破冰游戏，已经对这免疫了，只想赶快回去做大作业。
回来从github扒了个前端，后端直接代码生成器生成，数据库也不管什么建表原则了，前端原本是什么就造什么字段。
三天搞完了，给领导姐姐看，领导有点吃惊说再写写单元测试。然后又花了一天写了一个客服模块，姐姐说好吧，下周开始跟着开发实际业务吧，心里听着是十分开心的
[喝奶茶R]接着领导拿来了iPad给看看在做什么东西，又请了一位脾气巨好的同事给讲业务，感觉还挺有意思的，心里想原来银行里的系统都是这样的
银行的开发周期是比较慢的，一个接口写一天，但也不闲，需要注意各种字段，想到各种异常情况，以及和银行的业务经理确认需求。接口写完了单测写一天，对接前后端对几天，测试测几天。观察到同事晚上是一般不能到点就走的，因为领导都不走，而且发布软件要等晚上银行的经理们都下班了才能发。
银行也爱开会，分享会，需求会，review会，各种会，其实感觉也挺有意思的，毕竟不用写代码。
	
[笑哭R]日常就是七点半走，和同期实习生去喝酒，有时候喝了一瓶白酒四瓶啤酒，第二天八点多爬起来接着写bug（bushi）
就这样干了一个月，写的业务代码也上线了，听同事叨叨什么“先发xx省”、“发全国”…很开心有人去银行会用到自己写的模块，是有呢么一点成就感。
	
[笑哭R]后来该走了，领导和我们谈留正意愿。姐姐讲她毕业时候的事情，我说你是不是x大的？她说你怎么知道，我说自己领导肯定要了解一下，我网上搜到你facebook了。领导姐笑了说你搜集信息能力真可以。
姐姐说按道理是不能让实习生做实际业务的，但比较强嘛可以试试，我是承担了风险的。
我说我知道的，谢谢领导！
送了姐姐一本作者签名的小说，还有一个x大的冰箱贴文创做纪念。
美好的回忆。
#银行校招[话题]# #我的实习vlog[话题]#","[""#银行校招"",""#我的实习vlog""]","https://www.xiaohongshu.com/user/profile/63b6bf2300000000270280cb/6726d791000000001901b41e?xsec_token=ABNDdFU2PHSAkcQyPsn6lx-2Ushc7f8_volvtqDLI8FxA=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230150/551bedac77919f5fa26bb8a120f35d3d/1040g008319pksm70726g5onqcvc4g6dlgfk5630!nd_dft_wlteh_webp_3""]","",""
4,"69be93c10000000021011c21","港大黄超","https://www.xiaohongshu.com/user/profile/62df6ce5000000001f016ff5","12天2万+ GitHub Stars🌟GUI已死？","1504","1279","59","529","2026/03/21","没想到社区对CLI-Anything的关注远超我们预期，发布12天就突破2万GitHub Stars啦🌟！
	
祝贺团队的小伙伴雨豪, 也真的要感谢各位贡献者的PR。看来大家对于把龙虾🦞从AI助手进化成真正的""打工人"" 使用软件，确实很感兴趣。
	
最近有个很有意思的观察：按照现在AI的发展趋势，以后的软件很可能不再是给人类用的了，而是专门为Agent设计的。如果真是这样，GUI还重要吗？从AI原生的角度思考，CLI可能才是最适合当下Agent生态的交互模式。
	
CLI-Anything的核心愿景其实很简单：让所有软件都能通过一行命令直接被转换为Agent-Native💻，并能被AI直接调用。不需要复杂的API封装，更不需要图形界面。所有的龙虾们都可以用最""Agent友好""的方式直接操作软件。
	
说不定这就是让人类真正告别鼠标键盘的关键时刻 —— 未来的软件系统本身可能就不再为人类而生了(而是Agent-Native)
	
🎯 欢迎大家玩起来(GitHub): HKUDS/CLI-Anything
	
#CLIAnything[话题]# #CLI[话题]# #AIAgent[话题]# #港大AI[话题]# #HKUDS[话题]# #开源[话题]#","[""#CLIAnything"",""#CLI"",""#AIAgent"",""#港大AI"",""#HKUDS"",""#开源""]","https://www.xiaohongshu.com/user/profile/63b6bf2300000000270280cb/69be93c10000000021011c21?xsec_token=AB7wFQjgCdcd32IOLjOKKgDBL69_tPlUsTAaaBue6HbfA=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230150/c9d342189409a12d883785a0d2bc1165/spectrum/1040g0k031tvpmr710s205omvdjinqrvlqp2u80o!nd_dft_wgth_webp_3"",""https://sns-webpic-qc.xhscdn.com/202603230150/81bc19e33d16206a54ac0778fa2a90bd/spectrum/1040g0k031tvpmr710s0g5omvdjinqrvltv7k3qg!nd_dft_wgth_webp_3"",""https://sns-webpic-qc.xhscdn.com/202603230150/da555ac8d41ab556dc362dd7e89d9ec1/spectrum/1040g0k031tvpmr710s1g5omvdjinqrvlb76unt0!nd_dft_wgth_webp_3"",""https://sns-webpic-qc.xhscdn.com/202603230150/997acd71512e09fa1e303d5adcd314e5/spectrum/1040g0k031tvpmr710s105omvdjinqrvl3nutgq8!nd_dft_wgth_webp_3""]","",""
5,"69b0150500000000150238f1","MomoVeryOk","https://www.xiaohongshu.com/user/profile/5c49ae4a000000001101cbeb","","230","57","118","8","2026/03/10","感觉自己根本没有科研能力，什么都不懂，不是这块料硬是读这个博，给人生增加难度#博士生[话题]# #硕博圈[话题]# #科研日常[话题]#","[""#博士生"",""#硕博圈"",""#科研日常""]","https://www.xiaohongshu.com/user/profile/63b6bf2300000000270280cb/69b0150500000000150238f1?xsec_token=ABJlB0oIGZCsBu2Y1qeqk6QJE8lybyRflOhASHGblBIYs=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230150/2119ab0bfafa84e4c587d82b4edab5e3/1040g00831thko8dtlm005n29lp54bivbar721vo!nd_dft_wlteh_webp_3""]","",""
6,"69b0545800000000060085e9","敏奇妙妙","https://www.xiaohongshu.com/user/profile/5b5425eb4eacab2d5ea083bc","浙大博四关于我为什么读博的反思","117","46","12","14","2026/03/11","#读博精神状态[话题]# #博士生精神状态[话题]# #读研[话题]# #博士生日常[话题]#","[""#读博精神状态"",""#博士生精神状态"",""#读研"",""#博士生日常""]","https://www.xiaohongshu.com/user/profile/63b6bf2300000000270280cb/69b0545800000000060085e9?xsec_token=ABJlB0oIGZCsBu2Y1qeqk6QAg98FBau9sUBSCOCNr2Pg4=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230150/39386b5954462c10e4fff0ea1a6b5d92/1040g2sg31thsgk2n62004a7crviun0ts6kl6i7g!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e9b054552fec68010370039cd8ca9de4_259.mp4",""
7,"69ba51fe000000001a02c813","敏奇妙妙","https://www.xiaohongshu.com/user/profile/5b5425eb4eacab2d5ea083bc","读博四年，想写给所有努力却焦虑的博士","86","36","6","11","2026/03/18","#都说博士读的就是心态[话题]# #博士生[话题]# #女博士[话题]# #我的博士学习[话题]# #博士生日常[话题]# #读研心态调节[话题]#","[""#都说博士读的就是心态"",""#博士生"",""#女博士"",""#我的博士学习"",""#博士生日常"",""#读研心态调节""]","https://www.xiaohongshu.com/user/profile/63b6bf2300000000270280cb/69ba51fe000000001a02c813?xsec_token=ABtXMonjRs05OSV_QIHYAHWEPO-EHdDo6E6WCTpOYZI4w=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230150/55b0acc8275adec777b658d3f66153fc/1040g2sg31trklo3m7qi04a7crviun0tsu25pg80!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e9ba5b5c560a3d010370039cfff5f119_259.mp4",""
8,"69bf1c94000000001a033e24","momo","https://www.xiaohongshu.com/user/profile/5c73b9d3000000001103d299","博士毕业四年，经常后悔自己的选择，怎么破","267","180","204","116","2026/03/22","#博士[话题]# #博士毕业[话题]# #硕博圈[话题]# #国家自然科学基金[话题]# 博士毕业四年了，经常后悔自己的选择，怎么破","[""#博士"",""#博士毕业"",""#硕博圈"",""#国家自然科学基金""]","https://www.xiaohongshu.com/user/profile/63b6bf2300000000270280cb/69bf1c94000000001a033e24?xsec_token=ABPNEpvCIm-tnt7qHOGyiDu1kQ_ECICx2C1-QyHvUYvLo=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230150/1efa7a2fccae0646aceb0fdb111d1646/notes_pre_post/1040g3k031u09pur2n81g5n3jn79kfkkpi5hjcm8!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202603230150/9dc1c6c549b0f97662f8171db34cc921/notes_pre_post/1040g3k031u09pur2n8205n3jn79kfkkpufpjor8!nd_dft_wlteh_webp_3""]","",""
9,"69bb95170000000023026569","印在你的T恤上","https://www.xiaohongshu.com/user/profile/60c6daa6000000000100b874","某厂产品实习500r一天但我把ofr拒了","430","256","67","69","2026/03/19","我之前有一段字节产品实习，上个周面试了字节另一个业务线的产品实习，500r一天且面试官跟我相谈甚欢并且承诺早10晚7不加班，也不要求我全勤，但我还是在hr面之后拒了他们下面的流程
	
所以也想聊聊为什么在“产品是非技术岗最有性价比的岗位”的大论调下我在不合时宜的劝退
1⃣️你真的适合产品吗
可以对照我的画像看看，极度追求有序，不喜欢太多沟通扯皮，重视合规超过创新，不够自信，喜欢内耗，难于发表新的观点（只能从之前的建设中做点修修补补的事儿），习惯走一步看一步
上面如果中了四条，那可能产品不太适合你
2⃣️是不是看重“稳定”高于“高薪”
不想谈论pm的职业寿命问题因为太显而易见了，我当时实习的时候我的mt两年换了三个团队，另一个mt一年跳了两次槽，如果你完全不能接受这个工作调整的频率，产品可能不是一个好选项。有的人追求上几年班躺平 但是有的人追求一辈子有班上。。
3⃣️自驱力强不强，own项目的意愿强不强
自驱力的意思是有没有一股劲把事情做好而不是把事情做完，如果是比较佛的工作性格，那产品会做的很痛苦
另外如果对担责特别害怕，还是不要做产品实习了，own板块是很难的
	
一点个人看法，可以随便喷，因为个人认知也很有限，欢迎大家交流
#互联网大厂实习[话题]# #互联网大厂[话题]# #产品经理面试[话题]# #实习生日常[话题]# #实习日记[话题]#","[""#互联网大厂实习"",""#互联网大厂"",""#产品经理面试"",""#实习生日常"",""#实习日记""]","https://www.xiaohongshu.com/user/profile/63b6bf2300000000270280cb/69bb95170000000023026569?xsec_token=ABg2bKC0KpZPStC_XsF2mXo-hZqS9BVoU-T73YVtOLF8E=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230150/d0bd4b24fd687f3df13aec593a82285f/1040g00831tsreo9m186g5o66raj09e3kic5mcr0!nd_dft_wlteh_webp_3""]","",""
10,"69b5f716000000001a037d9d","科研部落","https://www.xiaohongshu.com/user/profile/659ecf030000000022013bed","只会发论文的时代，快结束了","1538","1399","364","1185","2026/03/15","#学术[话题]# #博士[话题]# #学术论文[话题]# #SCI论文[话题]# #小论文[话题]# #科研[话题]# #论文发表[话题]# #都说博士读的就是心态[话题]# #写论文[话题]# #sci[话题]#","[""#学术"",""#博士"",""#学术论文"",""#SCI论文"",""#小论文"",""#科研"",""#论文发表"",""#都说博士读的就是心态"",""#写论文"",""#sci""]","https://www.xiaohongshu.com/user/profile/63b6bf2300000000270280cb/69b5f716000000001a037d9d?xsec_token=ABgg-VmP38wdZeDsXWFv-HuHtzhr1dlK-kf9Zr97eu_KY=&xsec_source=pc_collect","[""https://sns-webpic-qc.xhscdn.com/202603230150/2918b0d9188c4c22606eb3e0cbac9932/spectrum/1040g0k031tnck2vumq0g5pcups1oievd3njp3mo!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202603230150/d210a6b4ad29effcdb7526f75a7635bc/spectrum/1040g0k031tnck2vumq105pcups1oievdlocfna8!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202603230150/7172a1b0fa4be5b1a9d7aaeaf0c4432e/spectrum/1040g0k031tnck2vumq1g5pcups1oievdh3nlg70!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202603230150/0303f0165c5b9b5472b6e30d306026b5/spectrum/1040g0k031tnck2vumq205pcups1oievd41lup38!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202603230150/72f6bd69d542762e5f230f88e01944d3/spectrum/1040g0k031tnck2vumq2g5pcups1oievda15ttog!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202603230150/8fb9f04c7a69778c81cf62870f0e6cad/spectrum/1040g0k031tnck2vumq305pcups1oievdiag5bio!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202603230150/b8cc2a873c71603513a0a3f7228e7a51/spectrum/1040g0k031tnck2vumq3g5pcups1oievdgugdj7o!nd_dft_wlteh_webp_3""]","",""
