"序号","笔记ID","作者","作者主页","标题","点赞数","收藏数","评论数","分享数","发布时间","笔记描述","主题","笔记链接","图片链接","视频链接","cookie"
1,"69f3634f000000003502634b","香港科技大学（广州）","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1","两位港科广er在广交会的硬核漫游！🤖","26","2","","1","2026/04/30","第139届中国进出口商品交易会（广交会）正在广州举行🎪。4200平方米的服务机器人专区🤖，首次设立的无人机专区🚁，3.2万家企业数，十万名境外采购商……这些数字之外，还有很多值得驻足的故事📖。笃学路1号编辑部《跟我走！探湾区》第三期上线🎬，这一次我们把镜头对准了这场全球客商云集的“中国第一展”。
	
来自丹麦的港科大（广州）计算媒体与艺术学域博士生Alex与他的朋友——2025级红鸟硕士生汪茵，这次以观察者的身份👥，带着他们各自的好奇与追问❓，一同走进了这场盛会。在硬核科技堆里，他们看到的不仅是“中国智造”的速度，更触摸到了技术背后关于人、关于未来的温度❤️。
	
策划：笃学路1号编辑部
出镜：BIE Alexander、汪茵
拍摄/剪辑：学生记者团 何子涵、茹俊嘉
特别支持：广州日报
	
#广交会[话题]# #港科广er[话题]# #港科大广州[话题]# #智能制造[话题]# #科技与创新[话题]#","[""#广交会"",""#港科广er"",""#港科大广州"",""#智能制造"",""#科技与创新""]","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1/69f3634f000000003502634b?xsec_token=ABJyXui1z7FlFMiSWyA06BV99S8XWfELtJDnE2-GQ9fiA=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202605072222/4e3ccf8a8aa785e69f9eadab0ce3deb5/1040g00831vjbtu4jjm0g5p05ejjaajvhvb41v9o!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e9f3623013e7d5010370039ddebea07b_259.mp4?sign=7168b54ae98beeb98ab5d779ad4d3ae5&t=6a013d82","abRequestId=1fdd8360-bddb-5741-b1f0-07b9492e0ae1; ets=1776707621030; xsecappid=xhs-pc-web; a1=19dac06d109z6kwxowrpbxf63aytoundx8skvo2hy50000419055; webId=fc6ff0514eae1fc74ff3bda05d3f46c3; gid=yjf0S8KffWCyyjf0S8KfyYlJ8juKTEClEFUDMxvCiKq0vT289l7Ifh8884yj8228ifj4djfW; web_session=040069b2c2fc6bccd09d8629ce3b4b27859388; id_token=VjEAAKEuxoJznmnkpPCffEa52t1p6xiocHg/4VgR/VM3DWeFeiTXYEYVGTKceRjcsCo8kmD9k9yAxDxc/oof0p00GTj/B9EVWxrdEV2xUWOWDCBlCESLG/KWuTR5d88aUIMAPwYD; webBuild=6.8.2; acw_tc=0a00d2d717781635519238965e99505f8294d29c4fbf5ad2bbb9e28becfeb6; acw_tc=0a8f07e017781635545154886e4e679264ecb015740c7c8118afabb6da21af; websectiga=9730ffafd96f2d09dc024760e253af6ab1feb0002827740b95a255ddf6847fc8; sec_poison_id=12128f4f-bd0e-4d3c-b46b-6b85b28aa090; unread={%22ub%22:%2269fb2f050000000036000fac%22%2C%22ue%22:%2269f5feb60000000035028500%22%2C%22uc%22:17}; loadts=1778163745122"
2,"69f363430000000035033e0b","香港科技大学（广州）","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1","这位保洁阿姨，可能是港科广献血最多的人","90","2","5","8","2026/04/30","在我们身边👀，有着这么一群平凡的人，只要你仔细看，就会发现他们身上都在发着光✨，就像这位吴英阿姨——
她每天凌晨5:00起床⏰，会在上班路上看小树发芽🌱；
她爱看科幻小说📚，见到献血车就忍不住要去敲门🚪🩸；
她不喜欢过度使用不环保的塑料袋🚫🎒，同时也担心着年轻人会不会被AI取代🤖；
一位操心着星球未来🌍的人，也正在帮我们维护着每一寸校园环境的整洁🧹
	
这就是这个“五一”国际劳动节，我们想通过“凡人微光”系列报道的第一篇，让大家看到的事：
平凡的世界里，处处都有闪闪发光的人和事💫
#凡人微光[话题]# #五一劳动节[话题]# #平凡英雄[话题]# #身边的光[话题]# #劳动最光荣[话题]#","[""#凡人微光"",""#五一劳动节"",""#平凡英雄"",""#身边的光"",""#劳动最光荣""]","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1/69f363430000000035033e0b?xsec_token=ABJyXui1z7FlFMiSWyA06BV3ifZTqs8xQoqPlu80_eRag=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202605072222/d5e61f1d2c8f3c88457446ec03932dac/1040g00831vjbtu4jjm005p05ejjaajvh2pd1jo8!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e9f363421691fa010370039ddebddc8e_259.mp4?sign=beabb08ed0ea1f04c95a4eca3600b881&t=6a013d83",""
3,"69f349fe0000000036000f92","香港科技大学（广州）","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1","晚安，明天，不用上班","41","1","9","1","2026/04/30","停更86400秒。 📷刚加完班的 Jimmy","[]","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1/69f349fe0000000036000f92?xsec_token=ABJyXui1z7FlFMiSWyA06BV5CKmnImfpcuPk9-8fcRHBk=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202605072222/f7d7afdcddf4cf08191385e8494e0356/1040g2sg31vj8ab0kjm005p05ejjaajvh8usojd8!nd_dft_wlteh_webp_3""]","",""
4,"69f17bb1000000003503be80","香港科技大学（广州）","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1","在港科广，给忙碌的学期充个“植”🌵","13","3","3","6","2026/04/29","谁说科研生活只有论文和实验🧪
抽出一个小时
安安静静地种一盆多肉微景观
放土、铺石、挑一棵最顺眼的小多肉
手比脑子先慢下来
Self-care 不是口号
是这一刻只属于自己🌱
📸 把桌上的小美好
栽进这个学期的缝隙里
这就是港科广er给自己“充植”的方式✨
	
活动主办方：功能枢纽
#港科大广州[话题]# #校园生活[话题]# #多肉微景观[话题]# #自我疗愈[话题]# #我的桌面绿植[话题]#","[""#港科大广州"",""#校园生活"",""#多肉微景观"",""#自我疗愈"",""#我的桌面绿植""]","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1/69f17bb1000000003503be80?xsec_token=ABrSnpG2NG9VidM_ucEo2sANlQ5Xq16zJ5X_B-Z7yaIdA=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202605072223/a43d810efcd7e00af565a136f4355b09/1040g2sg31vhfjvgc1meg5p05ejjaajvhee3eg6g!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/f9a222c5eb2f5b6d2b90b2bddb8b875d/1040g2sg31vhfjvgc1mf05p05ejjaajvhmotd76g!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/061cb9bf6efb737602a395386fe02e31/1040g2sg31vhfjvgc1mfg5p05ejjaajvht405uto!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/4c33d72aed75d7165015897de6c47c74/1040g2sg31vhfjvgc1mg05p05ejjaajvhg70an78!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/1861de47070d13d44274fcb2589605fa/1040g2sg31vhfjvgc1mgg5p05ejjaajvhu29qnmo!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/bdd6d4a9e3af6489537386bdf49d925c/1040g2sg31vhfjvgc1mh05p05ejjaajvhki8i1hg!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/e418d13c30eaaa528d01d910a7097159/1040g2sg31vhfjvgc1mhg5p05ejjaajvh8e2546o!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/783f4a82133aedc7cca93810467ce216/1040g2sg31vhfjvgc1mi05p05ejjaajvhg1q11c0!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/004acc1fab8c5b1f2c182c1a0d6d7fec/1040g2sg31vhfjvgc1mig5p05ejjaajvhtpfpk2o!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/fcf2aa3bfb365ee2b5c783c2a3da02fe/1040g2sg31vhfjvgc1mj05p05ejjaajvh2u3lu70!nd_dft_wlteh_webp_3""]","",""
5,"69f176c1000000003503a223","香港科技大学（广州）","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1","两位港科广er在广东美术馆来了一场艺术漫游","12","1","2","2","2026/04/29","跟我走！探湾区🌉
第二站：广东美术馆（白鹅潭馆区）🎬
	
刚刚落幕的“很高兴在这遇见你——GDMoA第二届公共艺术展”中，港科大（广州）MC²的前沿科技艺术项目 “幻实之境 SURREALITY” 惊艳亮相。
	
本期《跟我走！探湾区》，来自印度尼西亚的红鸟硕士生Fabian&来自中国的红鸟硕士生贡星宇，带你走进这场虚实交织的艺术漫游～🌟
	
🎬 快戳视频👆跟着港科广er的视角，在湾区走走逛逛，感受文化与科技碰撞的温度
下一站想去哪儿？评论区留言📝
	
P.S. 由港科大（广州）与港科大联合呈现的MR AI艺术展 《幻实之境 2.0》 即将在两校园展出，期待住🔥
#港科大广州[话题]# #科技艺术[话题]# #幻实之境[话题]# #MR[话题]# #跟我走探湾区[话题]#","[""#港科大广州"",""#科技艺术"",""#幻实之境"",""#MR"",""#跟我走探湾区""]","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1/69f176c1000000003503a223?xsec_token=ABrSnpG2NG9VidM_ucEo2sAARHT8ehpWwaf7A4tm5tCWM=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202605072223/d536219dfd2ed789f49736a0224e783e/1040g2sg31vhfjvgc1me05p05ejjaajvhd8ajk30!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e9f176c015e2e3010370039dd739021d_259.mp4?sign=780a329405153a83f85f1c1e5cbe09d7&t=6a013d84",""
6,"69f05dc0000000003502973a","香港科技大学（广州）","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1","🌟港科大（广州）全球交流交换版图｜美洲篇","15","5","1","5","2026/04/28","👋 港科大（广州）的同学们，
如果你心怀远方，渴望感受不一样的学术氛围🌍
那就来看看港科大（广州）全球交流交换版图·美洲篇 为你准备了什么——
从硅谷到西雅图，从加州阳光到常春藤底蕴：
🎓 斯坦福、UC Berkeley、华盛顿大学……顶尖学府等你来pick！
	
点击视频📹 一键速览👆：
港科大（广州）全球交流交换版图 · 美洲篇
	
✨ 不止于此！大学为你提供覆盖全球19个国家、62个优质交流交换项目。欧洲篇、亚洲篇也将陆续登场，敬请期待~[害羞R]
#港科大广州[话题]# #全球交换[话题]# #美洲篇[话题]#","[""#港科大广州"",""#全球交换"",""#美洲篇""]","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1/69f05dc0000000003502973a?xsec_token=AB3T1_QT-aQx62mJVtg8p6LjvIdKlOfEthqUITLtccUSk=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202605072223/11cceeeda6ab2e0d69da30a049e1c750/1040g00831vgcik0dk8005p05ejjaajvhfnk13pg!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/1/110/259/01e9f05d0e4b82e7010370039dd2ee672a_259.mp4?sign=1d674e7bb82efe68c7710087e0cd830b&t=6a013d84",""
7,"69f054c8000000003503366c","香港科技大学（广州）","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1","港科大（广州）人形机器人征战北京亦庄半马🤖","36","2","3","10","2026/04/28","2026北京亦庄人形机器人半程马拉松，港科大（广州）具身智能研究所团队的机器人，凭借平稳可靠的表现，顺利完成长距离挑战✅团队通过短时间高效技术迭代，将赛事成绩提升至国内第一梯队🔥
	
这不仅是一次比赛成绩，更是对高校自研具身智能系统的真实验证——💪
在户外复杂场景下，长距离稳定落地，我们做到了！
	
🥇 参赛团队覆盖博士、硕士、本科全学段：
博士生刘卓沄、何羿霆，红鸟硕士生王海舟、凌彩兰、罗隽石、何振霆、付羽龙，本科生张育铭、黄品睿、郑赛。为每一位硬核成员鼓掌👏
	
#港科大广州[话题]# #人形机器人[话题]# #北京亦庄机器人半马[话题]#","[""#港科大广州"",""#人形机器人"",""#北京亦庄机器人半马""]","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1/69f054c8000000003503366c?xsec_token=AB3T1_QT-aQx62mJVtg8p6LkPd9_Tzz39tUGIqXe5UJjM=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202605072223/c290729f5e0276212528cc2239e4735b/notes_pre_post/1040g3k031vgcijvuhm005p05ejjaajvhkin6sfo!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/d077f78fcfce45d11009a891747bf1b6/notes_pre_post/1040g3k031vgcijvuhm0g5p05ejjaajvh6lv6rto!nd_dft_wgth_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/22269a4da53fc179e801ec0429890e0e/notes_pre_post/1040g3k031vgcijvuhm105p05ejjaajvh8uqegko!nd_dft_wgth_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/abb47cf7ee6312b5ee4fafd15d553835/notes_pre_post/1040g3k031vgcijvuhm1g5p05ejjaajvhletvelo!nd_dft_wgth_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/10057a38c80678e1dece2f3c5fc12e47/notes_pre_post/1040g3k031vgcijvuhm205p05ejjaajvheksegv8!nd_dft_wgth_webp_3""]","",""
8,"69ed90a4000000003501f1af","香港科技大学（广州）","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1","红鸟挑战营明天开始报名➡️往期营员爆料👆","15","9","2","1","2026/04/26","红鸟挑战营是一场高手云集的夏日冒险，有趣的灵魂齐聚一堂，留下了无数开怀大笑、激烈battle、紧紧相拥、甚至热泪盈眶的真实瞬间。
	
这不仅仅是一次夏令营，更是一场关于突破、协作与创新的“大冒险”。在这里，你将遇到来自不同领域的顶尖高手，碰撞出意想不到的火花。
	
如果你也想成为这场冒险的主角，书写属于你的夏日故事，机会来了！
	
⏰ 报名时间：4月27日 - 5月15日
📅 营期时间：6月21日 - 7月1日
📍 地点：大湾区站-香港科技大学（广州）
你的“真心话”，会是下一个名场面吗？
	
#港科大广州[话题]# #红鸟挑战营[话题]#","[""#港科大广州"",""#红鸟挑战营""]","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1/69ed90a4000000003501f1af?xsec_token=ABTXGXFYAfwA6r35kfoZI7XKSOWJYoT5d-2qhkxHLrf-s=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202605072223/d76341e11571cd1b1721932bb2fbbb60/1040g2sg31vdm3m811meg5p05ejjaajvh221vr0g!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e9ed919213dd85010370039dc801f748_259.mp4?sign=f88c9b381ef37031f115e79f247e967e&t=6a013d85",""
9,"69ecaa75000000003503a1cf","香港科技大学（广州）","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1","红火火带你逛港科广二手市集✨","6","","","1","2026/04/25","这周三，4 月 22 日，第57个世界地球日。
	
在港科广的校园里，出现了一方让闲置物品发光的小天地——
落灰的书本、不合身的衣服、曾经喜欢的玩偶……都从被闲置的角落里出现，TA 们列队集结，等待着遇见新的主人，继续被使用，被需要。
	
这就是物归“缘”主二手循环市集。
这是一件很小、很具体的事，但红火火觉得，这也是一件对大家都很重要的事。
	
🎬 让“红火火”带你去逛逛市集吧🌍
	
活动主办方：可持续发展事务科、实验室健康与安全处、实验设施与安全管理办公室
#港科大广州[话题]# #二手市集[话题]# #物归缘主[话题]# #世界地球日[话题]# #可持续生活[话题]# #校园vlog[话题]#","[""#港科大广州"",""#二手市集"",""#物归缘主"",""#世界地球日"",""#可持续生活"",""#校园vlog""]","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1/69ecaa75000000003503a1cf?xsec_token=ABw2CHdUk3BtQBeao327r50WjXUd774iQfgP5lwtF6Wr4=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202605072223/7de4f0aa884668de41487fadd60e30b5/1040g2sg31vcq19fpise05p05ejjaajvha14odao!nd_dft_wlteh_webp_3""]","https://sns-video-hs.xhscdn.com/stream/79/110/259/01e9ecaa75145928010370039dc47abc2c_259.mp4?sign=9d621c17721902581fccdcfc10531dd1&t=6a013d86",""
10,"69ec50650000000035031f91","香港科技大学（广州）","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1","2026港科大（广州）红鸟挑战营！等你来","29","14","3","14","2026/04/25","我们总在寻找——那个允许你打破常规的土壤。
2026年夏天，
别让鲜活的思考，在既定的轨道上沉寂。
这次，没有枯燥的说教🚫📢。
只有以热爱为序❤️，
邀你共赴一场灵魂共振、思维破壁的探索之旅✨。
	
🔥 香港科技大学（广州）红鸟挑战营
营期主题 & 时间正式揭晓！
我们，等你来挑战💪
#港科大广州[话题]# #红鸟挑战营[话题]# #2026夏令营[话题]#","[""#港科大广州"",""#红鸟挑战营"",""#2026夏令营""]","https://www.xiaohongshu.com/user/profile/640574e60000000029014ff1/69ec50650000000035031f91?xsec_token=ABw2CHdUk3BtQBeao327r50Th6i7cZ9iTmZlbUNFkUvhI=&xsec_source=pc_user","[""https://sns-webpic-qc.xhscdn.com/202605072223/7a2f058f99663db9f264faace8baa4e2/1040g2sg31vcf07hohmfg5p05ejjaajvhst4csh0!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/9d7f2812cf5c832cfefc810fd575ea6c/1040g2sg31vcf07hohmg05p05ejjaajvhbrupam0!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/94372cbca08c2e3392220612c506308c/1040g2sg31vcf07hohmgg5p05ejjaajvhrggje80!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/b06a50f06a678fdc5ffd703a5d79bfb3/1040g2sg31vcf07hohmh05p05ejjaajvh8b1cpn8!nd_dft_wlteh_webp_3"",""https://sns-webpic-qc.xhscdn.com/202605072223/68e5c2eddf4062cc098cc690312f62e0/1040g2sg31vcf07hohmhg5p05ejjaajvhhvutp10!nd_dft_wlteh_webp_3""]","",""
